doi,标题,期刊,年份,作者
10.1016/j.jcsr.2023.107812,Lateral behavior and PFI model of sinusoidal corrugated steel plate shear walls,JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH,2023,"Qiuhong Zhao,Jing Qiu,Yanan Li,Cheng Yu"
10.1016/j.istruc.2023.02.063,Experimental study of plate-buckling type earthquake-resilient prefabricated steel beam-column joints with replaceable double flange cover plates,Structures,2023,"Zi-Qin Jiang,Tian Yan,Ai-Lin Zhang,Xiao-Feng Yang,Cheng Yu,Ran Li"
10.1016/j.engstruct.2022.114979,Test investigation and direct strength method on cold-formed steel compression members with web holes of different widths,ENGINEERING STRUCTURES,2022,"Jinyou Zhao,Jiaqi Liu,Cheng Yu,Wenying Zhang"
10.1016/j.jcsr.2022.107639,Experimental study on cold-formed steel shear walls with different corrugated steel sheathings,Journal of Constructional Steel Research,2022,"Xiyu Liu,Wenying Zhang,Cheng Yu,Yi Li,Ziqin Jiang,Shaole Yu"
10.1016/j.jcsr.2021.107045,Improved shear design method of cold-formed steel clip angles,Journal of Constructional Steel Research,2022,"Wenying Zhang,Yang Liu,XiangZhi Xu,Cheng Yu"
10.1016/j.tws.2022.109104,"Lateral behavior of trapezoidally corrugated wall plates in steel plate shear walls, Part 1: Elastic buckling",Thin-Walled Structures,2022,"Jing Qiu,Qiuhong Zhao,Zhiyu Wang,Cheng Yu"
10.1016/j.jobe.2022.105161,Shake table tests of a corrugated steel sheathed cold-formed steel structure,Journal of Building Engineering,2022,"Yan Zhao,Cheng Yu,Wenying Zhang,Zhiqiang Xie,Shaole Yu,Xiuli Du"
10.3390/met12061045,Probabilistic Seismic Assessment of CoSPSW Structures Using Fragility Functions,METALS,2022,"Zhilun Tan,Qiuhong Zhao,Yu Zhao,Cheng Yu"
10.1016/j.jcsr.2020.106395,Seismic performance of blind-bolted joints for square steel tube columns under bending-shear,Journal of Constructional Steel Research,2021,"Xue-Chun Liu,Guan-Po Chen,Lu Xu,Cheng Yu,Zi-qin Jiang"
10.1061/(ASCE)ST.1943-541X.0003147,Novel Energy Dissipation Bracing Designed for Corrugated Sheet-Sheathed Cold-Formed Steel Shear Wall,JOURNAL OF STRUCTURAL ENGINEERING,2021,"Cheng Yu,Yu Tian,Weiming Yan,Wenying Zhang"
10.1016/j.istruc.2021.05.011,Shear Performance Of Cold-Formed Steel Shear Walls With High-Aspect-Ratios,STRUCTURES,2021,"Zhao Yan,Yu Cheng,Chen Shicai,Jiang Ziqin,Zhang Wenying"
10.1016/j.istruc.2021.07.003,Comparative Analysis And Design Method Of Shear Strength For Hybrid Spr-Sds Joints In Thin-Walled Steel Structures,STRUCTURES,2021,"Zhiqiang Xie,Wenying Zhang,Tian Chen,Daxing Zhou,Leilei Shi,Yi Tang,Cheng Yu"
10.1061/(ASCE)ST.1943-541X.0003182,Cold-Formed Steel Framed Shear Walls with In-Frame Corrugated Steel Sheathing,JOURNAL OF STRUCTURAL ENGINEERING,2021,"Wenying Zhang,Mahsa Mahdavian,Xing Lan,Cheng Yu"
10.1016/j.jcsr.2020.106374,Static performance of slidable bolt-assembly truss-to-column connection with oversized bolt holes,Journal of Constructional Steel Research,2021,"Ai-Lin Zhang,Xue-Chun Liu,Yue Wang,Cheng Yu,Zheng-Xian Bai,Ha Tran"
10.1016/j.engstruct.2020.111729,Seismic performance of a square HSS column to H-section beam bolted connection with double cover plate,Engineering Structures,2021,"Xin-Xin Zhan,Xue-Chun Liu,Shuo Feng,Cheng Yu"
10.12989/scs.2021.40.5.679,Bearing Capacity Of H-Section Beam Wrapped With Ceramsite Concrete,STEEL AND COMPOSITE STRUCTURES,2021,"Xuechun Liu,Kun Meng,Ailin Zhang,Tao Zhu,Cheng Yu"
10.1016/j.tws.2021.107490,Study On Shear Performance And Calculation Method For Self-Pierce Riveted Joints In Galvanized Steel Sheet,THIN-WALLED STRUCTURES,2021,"Zhiqiang Xie,Ailin Zhang,Weiming Yan,Yanxia Zhang,Tingting Mu,Cheng Yu"
10.1016/j.jcsr.2021.106692,Cyclic behavior of high-strength concrete shear walls with high-strength reinforcements and boundary CFST columns,Journal of Constructional Steel Research,2021,"Jianwei Zhang,Xiangyu Li,Cheng Yu,Wanlin Cao"
10.1016/j.tws.2021.107584,High-Strength Cold-Formed Steel Framed Shear Wall With Steel Sheet Sheathing,THIN-WALLED STRUCTURES,2021,"Wenying Zhang,Xiangzhi Xu,Yang Liu,Cheng Yu,Xuechun Liu,Zhiqiang Xie"
10.3969/j.issn.1674-3814.2020.02.006,Optimal Sizing and Locating of Multi-Functional Integrated Substation Based on Voronoi Diagram,Advances of Power System & Hydroelectric Engineering,2020,"Xiaorong LI,Jie WANG,Jianmin DING,Tihua SHAN,Yu CHENG"
,Status and progress of kansei engineering design method,Journal of Machine Design,2020,"Man DING,Yu CHENG,Xiao-guang HUANG,Ling-ying ZHAO"
10.1088/1757-899x/929/1/012027,Voyage performance evaluation based on a digital twin model,IOP conference series,2020,"M Liu,Q Zhou,X Wang,Cheng Yu,M Kang"
10.11936/bjutxb2019090022,An Experimental Study of Seismic Performance of Cold-formed Thin-walled Steel Shear Walls Using Delay Protection Bracing,Journal of Beijing University of Technology,2020,"Weiming YAN,Yu TIAN,Cheng YU,Zhiqiang XIE"
10.6052/j.issn.1000-4750.2019.12.0793,THE SHEAR BEHAVIOR AND CALCULATION METHOD OF SELF-PIERCING RIVETED CONNECTIONS ON THIN-WALLED STEEL SHEETS,Engineering Mechanics,2020,"Zhi-qiang XIE,Ai-lin ZHANG,Wei-ming YAN,Yan-xia ZHANG,Cheng YU,Ting-ting MU"
10.3969/j.issn.1003-5060.2019.03.003,Risk assessment of phreatic water pollution in Wuxi City based on AHP-DRASTIC evaluation model,Journal of Hefei University of Technology(Natural Science),2019,"Liang LI,Min WANG,Huaixue XING,Weiya GE,Junyuan JIA,Cheng YU"
10.1615/JPorMedia.v21.i1.30,ON IMPROVING THE LOCAL CUBIC LAW FOR FRACTURE FLOW MODELING BY KEEPING IMPACTS OF FLUID INERTIA AND IRREGULAR BOUNDARIES,JOURNAL OF POROUS MEDIA,2018,Cheng Yu
10.11936/bjutxb2017030028,Feasibility Research on Self-piercing Rivet Connections Used in Structure Prefabricated Modularly With Cold-formed Thin-walled Steel,Journal of Beijing University of Technology,2018,"Zhiqiang XIE,Weiming YAN,Tingting MU,Cheng YU,Linlin SONG,Jincheng ZHAO"
10.1177/1369433218772350,Shaking table test of reinforced concrete coupled shear walls with single layer of web reinforcement and inclined steel bars,ADVANCES IN STRUCTURAL ENGINEERING,2018,"Jianwei Zhang,Wenbin Zheng,Cheng Yu,Wanlin Cao"
,Seismic Performance Evaluation of Cold-Formed Steel Framed Shear Walls using In-Frame Corrugated Steel Sheets,,2018,"Xing  Lan,Wenying  Zhang,Mahsa  Mahdavian,Cheng  Yu"
10.16183/j.cnki.jsjtu.2018.03.006,A Body Force Model for Tunnel Thrusters and Application,Journal of Shanghai Jiaotong University,2018,"Cheng YU,Xiaoqian DONG,Chenjun YANG"
10.1061/(ASCE)ST.1943-541X.0002097,Cold-Formed Steel Shear Wall Using Corrugated Steel Sheathing with Slits,JOURNAL OF STRUCTURAL ENGINEERING,2018,"Cheng Yu,Wenying Zhang,Guowang Yu,Jie Wang"
10.13204/j.gyjz201705028,RESEARCH ON THE SEISMIC BEHAVIOR OF COLD-FORMEDSTEEL SHEAR WALL SUBJECTED TO GRAVITY LOADING,Industrial Construction,2017,"Pengchun Jia,Weiming Yan,Cheng Yu"
10.13969/j.cnki.cn31-1893.2017.06.003,Recent Development on Seismic Performance of Cold-Formed Steel Framed Shear Walls with Corrugated Steel Sheathings,Progress in Steel Building Structures,2017,"Wenying ZHANG,Mahsa MAHDAVIAN,Cheng YU"
10.16188/j.isa.1003-8337.2017.06.011,Analysis on Restrike Overvoltage of Circuit Breakers in Offshore Wind Farms,Insulators and Surge Arresters,2017,"Qibin ZHOU,Yu CHENG,Yang ZHAO"
10.1061/(ASCE)ST.1943-541X.0001767,Design of Cold-Formed Steel Clip Angles in Compression,JOURNAL OF STRUCTURAL ENGINEERING,2017,"Yu Cheng,Yousof Mohamad,Mahdavian Mahsa,Zhang Wenying"
,Nonlinear simulation analysis on the influence of sectional feature and axial compressionratio of wall and column to the lateral resistance of RC frame and shear wall,Journal of Nanchang University(Natural Science),2017,"Yigang JIA,Cheng YU,Guangyu WU,Qing ZHANG,Zhijun YUAN"
