doi,标题,期刊,年份,作者
,HybriSeq: Probe-based Device-free Single-cell RNA Profiling,,2023,"Daniel Foyt,David Brown,Shuqin Zhou,Bo Huang"
,CELL-E 2: Translating Proteins to Pictures and Back with a Bidirectional Text-to-Image Transformer,,2023,"Emaad Khwaja,Yun S. Song,Aaron Agarunov,Bo Huang"
,Efficient tagging of endogenous proteins in human cell lines for structural studies by single-particle cryo-EM.,Proceedings of the National Academy of Sciences of the United States of America,2023,"Wooyoung Choi,Hao Wu,Klaus Yserentant,Bo Huang,Yifan Cheng"
10.1126/science.abi6983,OpenCell: Endogenous tagging for the cartography of human cellular organization,SCIENCE,2022,"Nathan H Cho,Keith C Cheveralls,Andreas-David Brunner,Kibeom Kim,André C Michaelis,Preethi Raghavan,Hirofumi Kobayashi,Laura Savy,Jason Y Li,Hera Canaj,James Y S Kim,Edna M Stewart,Christian Gnann,Frank McCarthy,Joana P Cabrera,Rachel M Brunetti,Bryant B Chhun,Greg Dingle,Marco Y Hein,Bo Huang,Shalin B Mehta,Jonathan S Weissman,Rafael Gómez-Sjöberg,Daniel N Itzhak,Loïc A Royer,Matthias Mann,Manuel D Leonetti"
,Label-retention expansion microscopy toward molecular resolution,BIOPHYSICAL JOURNAL,2022,"Xiaoyu Shi,Sohyeon Park,Yinyin Zhuang,Ian Seiple,Bo Huang"
10.3389/fphar.2022.837756,In Vivo Dopamine Neuron Imaging-Based Small Molecule Screen Identifies Novel Neuroprotective Compounds and Targets,FRONTIERS IN PHARMACOLOGY,2022,"Gha-Hyun J Kim,Han Mo,Harrison Liu,Meri Okorie,Steven Chen,Jiashun Zheng,Hao Li,Michelle Arkin,Bo Huang,Su Guo"
10.1101/2022.02.02.478845,Oncogenic protein condensates suppress growth factor perception and modulate drug tolerance,bioRxiv,2022,"David  Gonzalez-Martinez,Lee  Roth,Thomas R. Mumford,Juan  Guan,Bo  Huang,Asmin  Tulpule,Trever G. Bivona,Lukasz J. Bugaj"
10.1186/s12915-022-01286-3,High activity and high functional connectivity are mutually exclusive in resting state zebrafish and human brains,BMC Biology,2022,"Mahdi Zarei,Dan Xie,Fei Jiang,Adil Bagirov,Bo Huang,Ashish Raj,Srikantan Nagarajan,Su Guo"
10.1101/2022.05.27.493774,CELL-E: Biological Zero-Shot Text-to-Image Synthesis for Protein Localization Prediction,,2022,"Emaad Khwaja,Yun S. Song,Bo Huang"
10.1073/pnas.2207200119,Structural insights into the human PA28-20S proteasome enabled by efficient tagging and purification of endogenous proteins.,Proceedings of the National Academy of Sciences of the United States of America,2022,"Jianhua Zhao,Suraj Makhija,Chenyu Zhou,Hanxiao Zhang,YongQiang Wang,Monita Muralidharan,Bo Huang,Yifan Cheng"
10.3390/genes13040586,Understanding Regulatory Mechanisms of Brain Function and Disease through 3D Genome Organization,GENES,2022,"Weifang Liu,Wujuan Zhong,Jiawen Chen,Bo Huang,Ming Hu,Yun Li"
10.1126/sciadv.abe4091,Fluosteps: Fluorescent Biosensors For Monitoring Compartmentalized Signaling Within Endogenous Microdomains,SCIENCE ADVANCES,2021,"Brian Tenner,Jason Z Zhang,Yonghoon Kwon,Veronica Pessino,Siyu Feng,Bo Huang,Sohum Mehta,Jin Zhang"
10.1021/acschembio.0c00925,Versatile Labeling And Detection Of Endogenous Proteins Using Tag-Assisted Split Enzyme Complementation,ACS CHEMICAL BIOLOGY,2021,"Suraj Makhija,David Brown,Rachel M Rudlaff,Julia K Doh,Struan Bourke,Yina Wang,Shuqin Zhou,Rasmi Cheloor-Kovilakam,Bo Huang"
10.1364/OE.434191,Image denoising for fluorescence microscopy by supervised to self-supervised transfer learning,OPTICS EXPRESS,2021,"Yina Wang,Henry Pinkard,Emaad Khwaja,Shuqin Zhou,Laura Waller,Bo Huang"
10.1101/2021.06.25.449985,Efficient tagging and purification of endogenous proteins for structural studies by single particle cryo-EM,,2021,"Jianhua Zhao,Suraj Makhija,Bo Huang,Yifan Cheng"
10.7554/eLife.69795; 10.7554/eLife.69795.sa1; 10.7554/eLife.69795.sa2,A Zebrafish Screen Reveals Renin-Angiotensin System Inhibitors As Neuroprotective Via Mitochondrial Restoration In Dopamine Neurons,ELIFE,2021,"Gha-Hyun J. Kim,Han Mo,Harrison Liu,Zhihao Wu,Steven Chen,Jiashun Zheng,Xiang Zhao,Daryl Nucum,James Shortland,Longping Peng,Mannuel Elepano,Benjamin Tang,Steven Olson,Nick Paras,Hao Li,Adam R. Renslo,Michelle R. Arkin,Bo Huang,Bingwei Lu,Marina Sirota,Su Guo"
10.1126/sciadv.abg1244,Polarized Endosome Dynamics Engage Cytoplasmic Par-3 That Recruits Dynein During Asymmetric Cell Division,SCIENCE ADVANCES,2021,"Xiang Zhao,Jason Q Garcia,Kai Tong,Xingye Chen,Bin Yang,Qi Li,Zhipeng Dai,Xiaoyu Shi,Ian B Seiple,Bo Huang,Su Guo"
10.1038/s41589-021-00747-0,Spatial Decoding Of Endosomal Camp Signals By A Metastable Cytoplasmic Pka Network,NATURE CHEMICAL BIOLOGY,2021,"Grace E Peng,Veronica Pessino,Bo Huang,Mark von Zastrow"
10.7554/eLife.64563,Hp1 Proteins Compact Dna Into Mechanically And Positionally Stable Phase Separated Domains,ELIFE,2021,"Madeline M Keenen,David Brown,Lucy D Brennan,Roman Renger,Harrison Khoo,Christopher R Carlson,Bo Huang,Stephan W Grill,Geeta J Narlikar,Sy Redding"
10.1101/2021.02.01.429188,Image denoising for fluorescence microscopy by self-supervised transfer learning,,2021,"Yina Wang,Henry Pinkard,Emaad Khwaja,Shuqin Zhou,Laura Waller,Bo Huang"
10.1083/jcb.202011133,A Ciliopathy Complex Builds Distal Appendages To Initiate Ciliogenesis,JOURNAL OF CELL BIOLOGY,2021,"Dhivya Kumar,Addison Rains,Vicente Herranz-Pérez,Quanlong Lu,Xiaoyu Shi,Danielle L Swaney,Erica Stevenson,Nevan J Krogan,Bo Huang,Christopher Westlake,Jose Manuel Garcia-Verdugo,Bradley K Yoder,Jeremy F Reiter"
10.1016/j.bpj.2019.11.939,Applications Of Label-Retention Expansion Microscopy On Biological Systems At Various Scales,BIOPHYSICAL JOURNAL,2020,"Xiaoyu Shi,Ian Seiple,Bo Huang"
10.1021/acsnano.0c04866,Nanotopography Enhances Dynamic Remodeling Of Tight Junction Proteins Through Cytosolic Liquid Complexes,ACS NANO,2020,"Xiao Huang,Xiaoyu Shi,Mollie Eva Hansen,Initha Setiady,Cameron L Nemeth,Anna Celli,Bo Huang,Theodora Mauro,Michael Koval,Tejal A Desai"
10.1073/pnas.1914430117,A Molecular Mechanism For Probabilistic Bet Hedging And Its Role In Viral Latency,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2020,"Sonali Chaturvedi,Jonathan Klein,Noam Vardi,Cynthia Bolovan-Fritts,Marie Wolf,Kelvin Du,Luwanika Mlera,Meredith Calvert,Nathaniel J Moorman,Felicia Goodrum,Bo Huang,Leor S Weinberger"
10.1016/j.cell.2021.03.031,Kinase-mediated RAS signaling via membraneless cytoplasmic protein granules,,2020,"Asmin Tulpule,Juan Guan,Dana S Neel,Yone Phar Lin,Ann Heslin,Hannah R Allegakoan,Shriya Perati,Alejandro D Ramirez,Xiaoyu Shi,Bin Yang,Siyu Feng,Suraj Makhija,David Brown,Bo Huang,Trever G Bivona"
10.1038/s41586-020-2709-7,Neurotoxic Microglia Promote Tdp-43 Proteinopathy In Progranulin Deficiency,NATURE,2020,"Jiasheng Zhang,Dmitry Velmeshev,Kei Hashimoto,Yu-Hsin Huang,Jeffrey W Hofmann,Xiaoyu Shi,Jiapei Chen,Andrew M Leidal,Julian G Dishart,Michelle K Cahill,Kevin W Kelley,Shane A Liddelow,William W Seeley,Bruce L Miller,Tobias C Walther,Robert V Farese,J Paul Taylor,Erik M Ullian,Bo Huang,Jayanta Debnath,Torsten Wittmann,Arnold R Kriegstein,Eric J Huang"
10.1038/s41592-019-0401-3,Epi-illumination SPIM for volumetric imaging with high spatial-temporal resolution.,NATURE METHODS,2019,"Bin Yang,Xingye Chen,Yina Wang,Siyu Feng,Veronica Pessino,Nico Stuurman,Nathan H Cho,Karen W Cheng,Samuel J Lord,Linfeng Xu,Dan Xie,R Dyche Mullins,Manuel D Leonetti,Bo Huang"
10.1101/704312,Cytoplasmic protein granules organize kinase-mediated RAS signaling,,2019,"Asmin Tulpule,Juan Guan,Dana S. Neel,Yone Phar Lin,Ann Heslin,Hannah Allegakoan,Shriya Perati,Alejandro D. Ramirez,Xiaoyu Shi,Bin Yang,Siyu Feng,Bo Huang,Trever G. Bivona"
10.1016/j.bpj.2018.11.1804,Mapping The Inner World Of Cells,BIOPHYSICAL JOURNAL,2019,Bo Huang
10.1371/journal.pone.0212735,Deformed Alignment Of Super-Resolution Images For Semi-Flexible Structures,PLOS ONE,2019,"Xiaoyu Shi,Galo Garcia,Yina Wang,Jeremy F Reiter,Bo Huang"
10.1101/687954,Label-retention expansion microscopy,,2019,"Xiaoyu Shi,Qi Li,Zhipeng Dai,Arthur A. Tran,Siyu Feng,Alejandro D. Ramirez,Zixi Lin,Xiaomeng Wang,Tracy T. Chow,Ian B. Seiple,Bo Huang"
10.1016/j.bpj.2018.11.1521,Post-Expansion Storm Enables Imaging Beyond Super-Resolution Limits,BIOPHYSICAL JOURNAL,2019,"Xiaoyu Shi,Arthur Tran,Xiaomeng Wang,Ian Seiple,Bo Huang"
