doi,标题,期刊,年份,作者
10.1016/j.jinorgbio.2022.112057,Unlocking the potential of iridium and ruthenium arene complexes as anti-tumor and anti-metastasis chemotherapeutic agents,Journal of Inorganic Biochemistry,2023,"Mengdi Lv,Xiaoting Qian,Shijie Li,Jie Gong,Qun Wang,Yong Qian,Zhi Su,Xuling Xue,Hong-Ke Liu"
10.1007/s11356-023-25206-2,Lake dynamics in Tibetan Plateau during 1990-2020 and exploratory factor analyses using Google Earth Engine.,Environmental science and pollution research international,2023,"Zhiyuan Li,Fan Deng,Jie Gong,Longwei Xiang,Yang Han,Peixin Zheng,Enling Zhao"
,"Single-cell RNA-sequencing of zebrafish hair cells reveals novel genes potentially involved in hearing loss (vol 79, 385, 2022)",CELLULAR AND MOLECULAR LIFE SCIENCES,2023,"Fuping Qian,Guanyun Wei,Yajing Gao,Xin Wang,Jie Gong,Chao Guo,Xiaoning Wang,Xu Zhang,Jinxiang Zhao,Cheng Wang,Mengting Xu,Yuebo Hu,Guoli Yin,Jiahui Kang,Renjie Chai,Gangcai Xie,Dong Liu"
10.4103/1673-5374.369101,The role of Rho GTPase family in cochlear hair cells and hearing.,Neural regeneration research,2023,"Yu-Bei Dai,Xiang Gao,Dong Liu,Jie Gong"
10.1016/j.ijbiomac.2022.11.298,Characterization and evolutionary analysis of phosphate starvation response genes in wheat and other major gramineous plants,International Journal of Biological Macromolecules,2023,"Renwei Sun,Jie Gong,Yinke Du,Shengquan Zhang,Wei Zheng,Jinxiu Ma,Fengting Zhang,Yongjie Liu,Xiangzheng Liao,Hui Sun,Binshuang Pang,Changping Zhao,Shiqing Gao"
10.3389/fonc.2023.1096714,Laparoscopic or open liver resection for intrahepatic cholangiocarcinoma: A meta-analysis and systematic review.,Frontiers in oncology,2023,"Xin Zhao,Feng-Wei Gao,Kang-Yi Jiang,Jie Yang,Qing-Yun Xie,Jie Gong,Man-Yu Yang,Tian-Yang Mao,Ze-Hua Lei"
10.3390/rs15041003,Characterization of Operational Vibrations of Steel-Girder Highway Bridges via LiDAR.,Remote. Sens.,2023,"Adriana Trias-Blanco,Jie Gong,Franklin L. Moon"
10.17305/bjbms.2022.7859,Efficacy and safety of PEG-rhG-CSF in preventing chemoradiotherapy-induced neutropenia in patients with locally advanced cervical cancer.,Biomolecules and biomedicine,2023,"Weiwei Li,Mohan Dong,Shigao Huang,Liu Shi,Hua Yang,Ying Zhang,Jie Gong,Mei Shi,Lichun Wei,Lina Zhao"
10.1007/s40722-022-00267-6,Adaptive coastal construction: designing amphibious homes to resist hurricane winds and storm surges,JOURNAL OF OCEAN ENGINEERING AND MARINE ENERGY,2023,"Russell Archer,Hyungjoo Choi,Rosa Vasconez,Husam Najm,Jie Gong"
10.1016/j.scitotenv.2022.161045,Characteristics of the extreme precipitation and its impacts on ecosystem services in the Wuhan Urban Agglomeration,Science of The Total Environment,2023,"Xin Dai,Lunche Wang,Xin Li,Jie Gong,Qian Cao"
10.1007/s11356-022-22824-0,Experimental investigation on spontaneous combustion oxidation characteristics and stages of coal with different metamorphic degrees,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2023,"Baisheng Nie,Hongwei Yan,Peijun Liu,Zongyu Chen,Chao Peng,Xiaotong Wang,Feifei Yin,Jie Gong,Yueying Wei,Shuangshuang Lin,Qiang Gao,Mingwei Cao"
10.3390/healthcare11081085,"Comparison of Secular Trends in Peptic Ulcer Diseases Mortality in China, Brazil and India during 1990-2019: An Age-Period-Cohort Analysis.","Healthcare (Basel, Switzerland)",2023,"Jinyi Sun,Lihong Huang,Ruiqing Li,Tong Wang,Shuwen Wang,Chuanhua Yu,Jie Gong"
10.1227/neu.0000000000002260,Application of Intraoperative Rapid Molecular Diagnosis in Precision Surgery for Glioma: Mimic the World Health Organization CNS5 Integrated Diagnosis.,Neurosurgery,2023,"Hao Xue,Zhe Han,Haiyan Li,Xueen Li,Deze Jia,Mei Qi,Hui Zhang,Kailiang Zhang,Jie Gong,Hongwei Wang,Zichao Feng,Shilei Ni,Bo Han,Gang Li"
10.3389/fonc.2022.877434,Risk of Adverse Events in Cancer Patients Receiving Nivolumab With Ipilimumab: A Meta-Analysis,FRONTIERS IN ONCOLOGY,2022,"Xin Zhao,Fengwei Gao,Jie Yang,Hua Fan,Qingyun Xie,Kangyi Jiang,Jie Gong,Benjian Gao,Qian Yang,Zehua Lei"
10.1155/2022/1614336,Hypoxia-Driven M2-Polarized Macrophages Facilitate Cancer Aggressiveness and Temozolomide Resistance in Glioblastoma.,Oxidative medicine and cellular longevity,2022,"Ge Zhang,Xiang Tao,Baowei Ji,Jie Gong"
10.1021/acs.biomac.1c00813,Efficient Shaping of Cellulose Nanocrystals Based on Allomorphic Modification: Understanding the Correlation between Morphology and Allomorphs,Biomacromolecules,2022,"Jie Gong,Yishan Kuang,Xi Zhang,Pengcheng Luan,Pengyang Xiang,Kai Liu,Lihuan Mo,Jun Xu,Jun Li,Jinquan Wan"
10.1016/j.ijdrr.2021.102741,Large-scale cloud-based building elevation data extraction and flood insurance estimation to support floodplain management,International Journal of Disaster Risk Reduction,2022,"Mengyang Guo,Jie Gong,Jennifer L. Whytlaw"
10.1016/j.fsi.2022.04.022,Molecular characterization and expression of the autophagy-related gene Atg14 in WSSV-infected Procambarus clarkii,Fish & Shellfish Immunology,2022,"Mengru Zhu,Ming Zhan,Changjun Xi,Jie Gong,Huaishun Shen"
10.1186/s12864-022-08948-0,Transcriptional regulation mechanism of wheat varieties with different nitrogen use efficiencies in response to nitrogen deficiency stress.,BMC genomics,2022,"Hanxia Wang,Qiaoyun Ma,Fuhua Shan,Liping Tian,Jie Gong,Wei Quan,Weibing Yang,Qiling Hou,Fengting Zhang,Shengquan Zhang"
10.3389/fpls.2022.946213,The Central Circadian Clock Protein TaCCA1 Regulates Seedling Growth and Spike Development in Wheat (Triticum aestivum L.),FRONTIERS IN PLANT SCIENCE,2022,"Jie Gong,Yimiao Tang,Yongjie Liu,Renwei Sun,Yanhong Li,Jinxiu Ma,Shengquan Zhang,Fengting Zhang,Zhaobo Chen,Xiangzheng Liao,Hui Sun,Zefu Lu,Changping Zhao,Shiqing Gao"
,Oxidative stress-mediated high-throughput screening identifies novel neuroprotective agents that protect RPE and rescues visual function in models of AMD,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,2022,"Jie Gong,Huey Cai,Lucian V. Del Priore,Mark Anthony Fields"
