doi,标题,期刊,年份,作者
10.1021/acssynbio.1c00596,DNA Input Classification by a Riboregulator-Based Cell-Free Perceptron,ACS SYNTHETIC BIOLOGY,2022,"Ardjan J van der Linden,Pascal A Pieters,Mart W Bartelds,Bryan L Nathalia,Peng Yin,Wilhelm T S Huck,Jongmin Kim,Tom F A de Greef"
10.1101/2022.08.01.502089,Quantitative multiplexed imaging of chromatin ultrastructure with Decode-PAINT,,2022,"Hiroshi M. Sasaki,Jocelyn Y. Kishi,Chao-ting Wu,Brian J. Beliveau,Peng Yin"
10.1038/s41592-022-01455-w,Sub-3-angstrom cryo-EM structure of RNA enabled by engineered homomeric self-assembly,NATURE METHODS,2022,"Di Liu,François A Thélot,Joseph A Piccirilli,Maofu Liao,Peng Yin"
10.1038/s41551-022-00912-3,Revealing nanostructures in brain tissue via protein decrowding by iterative expansion microscopy,NATURE BIOMEDICAL ENGINEERING,2022,"Deblina Sarkar,Jinyoung Kang,Asmamaw T Wassie,Margaret E Schroeder,Zhuyu Peng,Tyler B Tarr,Ai-Hui Tang,Emily D Niederst,Jennie Z Young,Hanquan Su,Demian Park,Peng Yin,Li-Huei Tsai,Thomas A Blanpied,Edward S Boyden"
10.1101/2022.07.11.499592,Efficient algorithms for designing maximally sized orthogonal DNA sequence libraries,,2022,"Gokul Gowri,Kuanwei Sheng,Peng Yin"
10.1126/science.abf8873,Anomalous Covid-19 Tests Hinder Researchers,SCIENCE,2021,"Lindsey R. Robinson-McCarthy,Alexander J. Mijalis,Gabriel T. Filsinger,Helena de Puig,Nina M. Donghia,Thomas E. Schaus,Robert A. Rasmussen,Raphael Ferreira,Jeantine E. Lunshof,George Chao,Dmitry Ter-Ovanesyan,Oliver Dodd,Erkin Kuru,Adama M. Sesay,Joshua Rainbow,Andrew C. Pawlowski,Timothy M. Wannier,Peng Yin,James J. Collins,Donald E. Ingber,George M. Church,Jenny M. Tam"
10.1128/Spectrum.00313-21,Laboratory-Generated DNA Can Cause Anomalous Pathogen Diagnostic Test Results,MICROBIOLOGY SPECTRUM,2021,"Lindsey R Robinson-McCarthy,Alexander J Mijalis,Gabriel T Filsinger,Helena de Puig,Nina M Donghia,Thomas E Schaus,Robert A Rasmussen,Raphael Ferreira,Jeantine E Lunshof,George Chao,Dmitry Ter-Ovanesyan,Oliver Dodd,Erkin Kuru,Adama M Sesay,Joshua Rainbow,Andrew C Pawlowski,Timothy M Wannier,Nicolaas M Angenent-Mari,Devora Najjar,Peng Yin,Donald E Ingber,Jenny M Tam,George M Church"
10.1021/acssynbio.1c00024,Cell-Free Characterization Of Coherent Feed-Forward Loop-Based Synthetic Genetic Circuits,ACS SYNTHETIC BIOLOGY,2021,"Pascal A Pieters,Bryan L Nathalia,Ardjan J van der Linden,Peng Yin,Jongmin Kim,Wilhelm T S Huck,Tom F A de Greef"
10.1038/s41563-021-00930-7,Three-Dimensional Nanolithography Guided By Dna Modular Epitaxy,NATURE MATERIALS,2021,"Jie Shen,Wei Sun,Di Liu,Thomas Schaus,Peng Yin"
10.1021/acsnano.1c05871,Understanding Forster Resonance Energy Transfer in the Sheet Regime with DNA Brick-Based Dye Networks,ACS NANO,2021,"Divita Mathur,Anirban Samanta,Mario G Ancona,Sebastián A Díaz,Youngchan Kim,Joseph S Melinger,Ellen R Goldman,John Paul Sadowski,Luvena L Ong,Peng Yin,Igor L Medintz"
10.1038/s41592-021-01143-1,The Emerging Landscape Of Single-Molecule Protein Sequencing Technologies,NATURE METHODS,2021,"Javier Antonio Alfaro,Peggy Bohlander,Mingjie Dai,Mike Filius,Cecil J. Howard,Xander F. Van Kooten,Shilo Ohayon,Adam Pomorski,Sonja Schmid,Aleksei Aksimentiev,Eric V. Anslyn,Georges Bedran,Chan Cao,Mauro Chinappi,Etienne Coyaud,Cees Dekker,Gunnar Dittmar,Nicholas Drachman,Rienk Eelkema,David Goodlett,Sebastien Hentz,Umesh Kalathiya,Neil L. Kelleher,Ryan T. Kelly,Zvi Kelman,Sung Hyun Kim,Bernhard Kuster,David Rodriguez-Larrea,Stuart Lindsay,Giovanni Maglia,Edward M. Marcotte,John P. Marino,Christophe Masselon,Michael Mayer,Patroklos Samaras,Kumar Sarthak,Lusia Sepiashvili,Derek Stein,Meni Wanunu,Mathias Wilhelm,Peng Yin,Amit Meller,Chirlmin Joo"
10.1002/anie.202009031,Super-Resolution Spatial Proximity Detection With Proximity-Paint,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,2021,"Florian Schueder,Juanita Lara-Gutiérrez,Daniel Haas,Kai Sandvold Beckwith,Peng Yin,Jan Ellenberg,Ralf Jungmann"
10.1016/J.BPJ.2020.11.2270,Rotation Tracking Using Dna Origami Rotors Reveals Single Base Pair Steps During Transcription By Rna Polymerase,BIOPHYSICAL JOURNAL,2021,"Pallav Kosuri,Benjamin D. Altheimer,Mingjie Dai,Peng Yin,Xiaowei Zhuang"
,Complex multicomponent patterns rendered on a 3D DNA-barrel pegboard,Nature Communications,2020,"Shelley F. J. Wickham,Alexander Auer,Jianghong Min,Nandhini Ponnuswamy,Johannes B. Woehrstein,Florian Schueder,Maximilian T. Strauss,Jörg Schnitzbauer,Bhavik Nathwani,Zhao Zhao,Steven D. Perrault,Jaeseung Hahn,Seungwoo Lee,Maartje M. Bastings,Sarah W. Helmig,Anne Louise Kodal,Peng Yin,Ralf Jungmann,William M. Shih"
10.1002/anie.201911664,Enhancing biocompatible stability of DNA nanostructures using dendritic oligonucleotides and brick motifs.,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,2020,"Youngeun Kim,Peng Yin"
10.1126/science.aaz7440,Precise Pitch-Scaling Of Carbon Nanotube Arrays Within Three-Dimensional Dna Nanotrenches,SCIENCE,2020,"Wei Sun,Jie Shen,Zhao Zhao,Noel Arellano,Charles Rettner,Jianshi Tang,Tianyang Cao,Zhiyu Zhou,Toan Ta,Jason K Streit,Jeffrey A Fagan,Thomas Schaus,Ming Zheng,Shu-Jen Han,William M Shih,Hareem T Maune,Peng Yin"
10.1364/BOE.377890,Axial plane single-molecule super-resolution microscopy of whole cells.,BIOMEDICAL OPTICS EXPRESS,2020,"Sha An,Karl Ferdinand Ziegler,Peiyi Zhang,Yu Wang,Tim Kwok,Fan Xu,Cheng Bi,Sandro Matosevic,Peng Yin,Tongcang Li,Fang Huang"
10.1016/j.bpj.2019.11.1794,Engineering Dna Nanodevices To Advance Biomolecular Analysis,BIOPHYSICAL JOURNAL,2020,Peng Yin
10.1021/acsnano.0c00178,3D Freestanding DNA Nanostructure Hybrid as a Low-Density High-Strength Material.,ACS nano,2020,"Feng Zhou,Wei Sun,Chen Zhang,Jie Shen,Peng Yin,Haitao Liu"
,25 GEFF : Graph Embedding for Functional Fingerprinting,,2020,"Kausar  Abbas,Enrico  Amico,Diana Otero Svaldi,Uttara  Tipnis,Duy Anh Duong-Tran,Mintao  Liu,Meenusree  Rajapandian,Jaroslaw  Harezlak,Beau  Ances,Joaquín  Goñi,Donghan  Ma,Fan  Xu,Kathryn P. MacPherson,Sheng  Liu,Ye  Bu,Yu  Wang,Yu  Tang,Cheng  Bi,Tim  Kwok,Alexander A. Chubykin,Peng  Yin,Sarah  Calve,Gary E. Landreth,Fang  Huang"
10.1038/s41592-020-0816-x,Three-dimensional nanoscopy of whole cells and tissues with in situ point spread function retrieval.,NATURE METHODS,2020,"Fan Xu,Donghan Ma,Kathryn P MacPherson,Sheng Liu,Ye Bu,Yu Wang,Yu Tang,Cheng Bi,Tim Kwok,Alexander A Chubykin,Peng Yin,Sarah Calve,Gary E Landreth,Fang Huang"
10.1016/j.bpj.2019.11.920,Single-Molecule Imaging And Labelling With Dna-Based Superresolution Microscopy,BIOPHYSICAL JOURNAL,2020,"Mingjie Dai,Ninning Liu,Sinem K. Saka,Peng Yin"
10.1038/s41467-020-18910-x,Complex Multicomponent Patterns Rendered On A 3d Dna-Barrel Pegboard,NATURE COMMUNICATIONS,2020,"Shelley F J Wickham,Alexander Auer,Jianghong Min,Nandhini Ponnuswamy,Johannes B Woehrstein,Florian Schueder,Maximilian T Strauss,Jörg Schnitzbauer,Bhavik Nathwani,Zhao Zhao,Steven D Perrault,Jaeseung Hahn,Seungwoo Lee,Maartje M Bastings,Sarah W Helmig,Anne Louise Kodal,Peng Yin,Ralf Jungmann,William M Shih"
10.1101/2020.08.27.271072,A DNA nanoscope that identifies and precisely localizes over a hundred unique molecular features with nanometer accuracy,,2020,"Nikhil Gopalkrishnan,Sukanya Punthambaker,Thomas E. Schaus,George M. Church,Peng Yin"
,Super-Resolution Geometric Barcoding for Multiplexed miRNA Profiling,Biophysical Journal,2019,"Weidong Xu,Peng Yin,Mingjie Dai"
10.1021/acssynbio.9b00141,"Programmable CRISPR-Cas Repression, Activation, and Computation with Sequence-Independent Targets and Triggers.",ACS synthetic biology,2019,"Mike Jin,Nicolas Garreau de Loubresse,Youngeun Kim,Jongmin Kim,Peng Yin"
10.1021/acs.nanolett.9b00508,124-Color Super-resolution Imaging by Engineering DNA-PAINT Blinking Kinetics.,NANO LETTERS,2019,"Orsolya K Wade,Johannes B Woehrstein,Philipp C Nickels,Sebastian Strauss,Florian Stehr,Johannes Stein,Florian Schueder,Maximilian T Strauss,Mahipal Ganji,Joerg Schnitzbauer,Heinrich Grabmayr,Peng Yin,Petra Schwille,Ralf Jungmann"
10.1038/s41557-019-0325-7, Super-resolution labelling with Action-PAINT.,NATURE CHEMISTRY,2019,"Ninning Liu,Mingjie Dai,Sinem K Saka,Peng Yin"
10.1038/s41592-019-0585-6,Voices in methods development,NATURE METHODS,2019,"Polina Anikeeva,Edward Boyden,Clifford Brangwynne,Ibrahim I. Cissé,Oliver Fiehn,Petra Fromme,Anne-Claude Gingras,Casey S. Greene,Edith Heard,Stefan W. Hell,Elizabeth Hillman,Grant Jay Jensen,Rachel Karchin,Laura L. Kiessling,Benjamin P. Kleinstiver,Rob Knight,Philipp Kukura,Madeline A. Lancaster,Nicholas Loman,Loren Looger,Emma Lundberg,Qingming Luo,Atsushi Miyawaki,Eugene W. Myers,Garry P. Nolan,Paola Picotti,Wolf Reik,Markus Sauer,Alex K. Shalek,Jay Shendure,Nikolai Slavov,Amos Tanay,Olga Troyanskaya,David van Valen,Hong-Wei Wang,Chengqi Yi,Peng Yin,Magdalena Zernicka-Goetz,Xiaowei Zhuang"
